Epoch 059, Loss: 0.05404792850693967, Neurons: 12
Epoch 060, Loss: 0.05368227562496233, Neurons: 12
Epoch 060, Loss: 0.05368227562496233, Neurons: 12
Epoch 060, Loss: 0.05368227562496233, Neurons: 12
Epoch 061, Loss: 0.053193653097336736, Neurons: 12
Epoch 061, Loss: 0.053193653097336736, Neurons: 12
Epoch 061, Loss: 0.053193653097336736, Neurons: 12
Epoch 062, Loss: 0.05250032361805007, Neurons: 12
Epoch 062, Loss: 0.05250032361805007, Neurons: 12
Epoch 062, Loss: 0.05250032361805007, Neurons: 12
Epoch 063, Loss: 0.051764756071948435, Neurons: 12
Epoch 063, Loss: 0.051764756071948435, Neurons: 12
Epoch 063, Loss: 0.051764756071948435, Neurons: 12
Epoch 064, Loss: 0.05104632075707861, Neurons: 12
Epoch 064, Loss: 0.05104632075707861, Neurons: 12
Epoch 064, Loss: 0.05104632075707861, Neurons: 12
Epoch 065, Loss: 0.05043035710315558, Neurons: 12
Epoch 065, Loss: 0.05043035710315558, Neurons: 12
Epoch 065, Loss: 0.05043035710315558, Neurons: 12
Epoch 066, Loss: 0.049952447974499055, Neurons: 12
Epoch 066, Loss: 0.049952447974499055, Neurons: 12
Epoch 066, Loss: 0.049952447974499055, Neurons: 12
Epoch 067, Loss: 0.04954024946206751, Neurons: 12
Epoch 067, Loss: 0.04954024946206751, Neurons: 12
Epoch 067, Loss: 0.04954024946206751, Neurons: 12
Epoch 068, Loss: 0.0491174122953752, Neurons: 12
Epoch 068, Loss: 0.0491174122953752, Neurons: 12
Epoch 068, Loss: 0.0491174122953752, Neurons: 12
Epoch 069, Loss: 0.04863538681205717, Neurons: 12
Epoch 069, Loss: 0.04863538681205717, Neurons: 12
Epoch 069, Loss: 0.04863538681205717, Neurons: 12
Epoch 070, Loss: 0.04805766554672069, Neurons: 12
Epoch 070, Loss: 0.04805766554672069, Neurons: 12
Epoch 070, Loss: 0.04805766554672069, Neurons: 12
Epoch 071, Loss: 0.047412570896064224, Neurons: 12
Epoch 071, Loss: 0.047412570896064224, Neurons: 12
Epoch 071, Loss: 0.047412570896064224, Neurons: 12
Epoch 072, Loss: 0.04678327324296835, Neurons: 12
Epoch 072, Loss: 0.04678327324296835, Neurons: 12
Epoch 072, Loss: 0.04678327324296835, Neurons: 12
Epoch 073, Loss: 0.04623977678300526, Neurons: 12
Epoch 073, Loss: 0.04623977678300526, Neurons: 12
Epoch 073, Loss: 0.04623977678300526, Neurons: 12
Epoch 074, Loss: 0.04579946055968601, Neurons: 12
Epoch 074, Loss: 0.04579946055968601, Neurons: 12
Epoch 074, Loss: 0.04579946055968601, Neurons: 12
Epoch 075, Loss: 0.045422117048614354, Neurons: 12
Epoch 075, Loss: 0.045422117048614354, Neurons: 12
Epoch 075, Loss: 0.045422117048614354, Neurons: 12
